animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,type_name
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,Mammal
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,Bird
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,Bird
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,Reptile
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,Reptile
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,Amphibian
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,Amphibian
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,Insect
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,Insect
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,Invertebrate
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Invertebrate
